Nodes,Throughput,PDR,Delay,Collisions
2,0,0,0,1708
3,3.08491,1,1.7922,0
4,1.02848,0.25,0.110956,2562
5,3.08371,0.599766,2.19429,1709
6,4.99657,0.809914,2.60687,974
7,2.79184,0.387922,2.63745,3659
8,2.93823,0.357289,1.7317,4391
9,5.13322,0.554775,2.14667,3422
10,3.5301,0.343326,2.77362,5608
11,6.02458,0.53268,1.81971,4390
12,4.11288,0.333333,0.809257,6832
13,6.01496,0.450369,2.14143,6102
14,5.29432,0.367849,3.33144,7558
15,0,0,0,12810
16,6.83486,0.415691,6.07199,7984
17,8.48807,0.485742,4.48114,7466
18,6.72974,0.363843,2.62186,9779
19,1.02848,0.0526316,0.0235883,15372
20,7.87788,0.383197,3.28525,10535
21,8.88215,0.411453,5.27203,10555
22,5.73106,0.253353,1.502,14028
23,10.2574,0.434732,19.4525,11103
24,6.61196,0.267955,1.64622,15004
25,5.8568,0.227869,3.27247,16485
26,7.90155,0.295622,1.9111,15640
27,7.35419,0.264941,3.51979,16949
28,7.39386,0.257026,4.01469,17766
29,11.4084,0.387911,104.76,15159
30,11.3718,0.369165,10.5404,16162
